Id	Code	Level	Time	Venue	VenueId	Title	Authors	pubURL	pdf	video	github	bib	doi	image	pages	Rate	ResearchArea	Application
W21	W	3	1-Apr-20	11th International EUROVIS workshop on visual analytics	EuroVA 2020	Congnostics: Visual features for doubly time series plots	"Bao Nguyen, Rattikorn Hewett, Tommy Dang"	https://www.eurova.org/eurova-2020	https://diglib.eg.org/bitstream/handle/10.2312/eurova20201086/049-053.pdf	https://www.youtube.com/watch?v=OU_OgoO40t4&feature=youtu.be	https://github.com/iDataVisualizationLab/B	https://diglib.eg.org/handle/10.2312/eurova20201086	https://diglib.eg.org/handle/10.2312/eurova20201086	images/papers/congnostics.png			BDV	
W20	W	3	1-Apr-20	11th International EUROVIS workshop on visual analytics	EuroVA 2020	DualNetView: Dual Views for Visualizing the Dynamics of Networks	"Vung Pham, Ngan Nguyen, Tommy Dang"	https://www.eurova.org/eurova-2020	https://www.researchgate.net/profile/Pham_Vung/publication/341615626_DualNetView_Dual_Views_for_Visualizing_the_Dynamics_of_Networks/links/5ecb3df292851c11a887f681/DualNetView-Dual-Views-for-Visualizing-the-Dynamics-of-Networks.pdf	https://www.youtube.com/watch?v=M8dyindNhbA	https://idatavisualizationlab.github. io/V/Threats/	https://dblp.org/rec/conf/eurova-ws/PhamND20.html	https://diglib.eg.org/handle/10.2312/eurova20201082	images/papers/dualview.PNG			IVA	
S10	S	3	1-Apr-20	Eurographics	Eurographics 2020	ScagnosticsJS: Extended Scatterplot Visual Features for the Web	"Vung Pham, Tommy Dang"	https://conferences.eg.org/egev20/	https://diglib.eg.org/bitstream/handle/10.2312/egs20201022/077-080.pdf	https://www.youtube.com/watch?v=yR7INFmFLDY	https://idatavisualizationlab.github.io/ScagnosticsJS/	https://diglib.eg.org/handle/10.2312/egs20201022	https://diglib.eg.org/handle/10.2312/egs20201022	images/papers/teaserscag.png			IVA	
W19	W	3	1-Apr-20	The Visualization in Environmental Sciences	EnvirVis 2020	SoilScanner: 3D Profiling and Visualizing Soil Chemicals via Portable X-ray Fluorescence	"Vung Pham, Tommy Dang"	https://www.informatik.uni-leipzig.de/bsv/envirvis2020/	https://www.researchgate.net/publication/341615460_SoilScanner_3D_Visualization_for_Soil_Profiling_using_Portable_X-ray_Fluorescence	https://www.youtube.com/watch?v=5bg-X8brbMc	https://idatavisualizationlab.github.io/Soil/soil3d.html	https://diglib.eg.org/handle/10.2312/envirvis20201094	https://diglib.eg.org/handle/10.2312/envirvis20201094	images/papers/teasersoil3d.png			IVA	E
C23	C	2	20-Dec-19	2019 IEEE International Conference on Big Data	IEEE BigData 2019	MTSAD: Multivariate Time Series Abnormality Detection and Visualization	"Vung Pham, Ngan Nguyen, Jie Li, Jon Hass, Yong Chen, Tommy Dang"	https://ieeexplore.ieee.org/abstract/document/9006559	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9006559			https://doi.org/10.1109/BigData47090.2019.9006559	https://doi.org/10.1109/BigData47090.2019.9006559	images/papers/MTSAD.png			BDV	H
C22	C	2	20-Dec-19	2019 IEEE International Conference on Big Data	IEEE BigData 2019	Solar Flare Prediction Using Two-tier Ensemble with Deep Learning and Gradient Boosting Machine	"Chau Pham, Vung Pham, Tommy Dang"	https://ieeexplore.ieee.org/abstract/document/9006542	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9006542			https://doi.org/10.1109/BigData47090.2019.9006542	https://doi.org/10.1109/BigData47090.2019.9006542	images/papers/SolarFlare.png			IVA	
J10	J	1	11-Feb-20	Environmental Earth Sciences	Impact factor: 1.871	"AgasedViz: Visualizing Groundwater Availability of Ogallala Aquifer, USA"	"Tommy Dang, Vung Pham, Huyen Nguyen, Ngan Nguyen"	https://link.springer.com/article/10.1007/s12665-020-8851-6	https://rdcu.be/b2eT4		https://AgasedViz.github.io	https://www.springerprofessional.de/en/agasedviz-visualizing-groundwater-availability-of-ogallala-aquif/17745842	https://doi.org/10.1007/s12665-020-8851-6	images/papers/AgasedViz.png			IVA	E
S9	S	2	28-Apr-20	Artificial Intelligence and Machine Learning for Multi-Domain Operations Applications II	SPIE 2020	Securing autonomous system in multi-domain tactical environment	"Tommy Dang,Dy Le,Vung Pham"	https://spie.org/si/conferencedetails/artificial-intelligence-and-machine-learning-for-multi-domain-battle-applications?SSO=1	https://www.researchgate.net/publication/341581218_Securing_autonomous_system_in_multi-domain_tactical_environment			https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11413/1141320/Securing-autonomous-system-in-multi-domain-tactical-environment/10.1117/12.2558640.short?SSO=1	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11413/1141320/Securing-autonomous-system-in-multi-domain-tactical-environment/10.1117/12.2558640.short?SSO=1	images/papers/SAS.png	vr		EML	C
S8	S	2	20-Jan-20	The 22nd Symposium on Practical Aspects of Declarative Languages	PADL 2020	VRASP: A Virtual Reality Environment for Learning Answer Set Programming	"Vinh Nguyen, Yuanlin Zhang, Kwanghee Jung, Wanli Xing, Tommy Dang"	https://popl20.sigplan.org/details/PADL-2020-papers/7/VRASP-A-Virtual-Reality-Environment-for-Learning-Answer-Set-Programming	https://popl20.sigplan.org/details/PADL-2020-papers/7/VRASP-A-Virtual-Reality-Environment-for-Learning-Answer-Set-Programming			https://www.springerprofessional.de/en/vrasp-a-virtual-reality-environment-for-learning-answer-set-prog/17572304	https://link.springer.com/chapter/10.1007/978-3-030-39197-3_6	images/papers/VR_PADL.png	vr		VR	L
S7	C	3	8-Jan-20	"11th International conference on Bioinformatics models, method and algorithms"	"BioInformatis 2020, Valleta, Malta"	PIACAN: Pathway Integration and Analysis of Cancer Networks	"Vinh Nguyen, Tommy Dang"	http://www.bioinformatics.biostec.org/	https://www.insticc.org/Primoris/Resources/PaperPdf.ashx?idPaper=91859	https://youtu.be/oUF0zmyzjvQ	https://github.com/iDataVisualizationLab/Cancer		http://www.insticc.org/node/TechnicalProgram/biostec/presentationDetails/91859	images/papers/PIACAN.png	7		BDV	B
